p_hot,c,load,gamma,lam_sat,lam,rho_hot_frozen,rho_B_pernode,rho_hot_full,rho_cold_node,p_hot_mix_hotnode,p_hot_mix_B,ES_hotnode,ES2_hotnode,ES_B,ES2_B,W_mean_hotnode,W_mean_B,W_mean_cold,p99w_hotnode,p95w_hotnode,p99w_B,p95w_B,p99w_cold,p99w_coldmix_A,p99_ttft_hotA,p99_ttft_hotB,p99_ttft_coldA_primary,p99_ttft_coldA_mix,p99_ttft_coldB,hot_ratio_meanW,hot_ratio_p99TTFT,cold_ratio_p99TTFT_primary,cold_ratio_p99TTFT_mix,agg_mean_ttft_A_primary,agg_mean_ttft_A_mix,agg_mean_ttft_B,agg_mean_ratio_primary,agg_mean_ratio_mix,slo_flag_hotA,slo_flag_coldA_primary,slo_flag_coldA_mix,slo_crossed_primary,slo_crossed_mix,stable_frozen,stable_full
0.5,16,0.5,1.0,4.0,2.0,0.5,0.375,0.75,0.25,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,1.0032552083333333,0.2505208333333333,0.16688368055555555,5.475431680679321,3.471285104751587,2.025216817855835,1.2031495571136475,1.669555902481079,3.7560760974884033,6.0366816806793215,2.586466817855835,2.7308059024810794,4.817326097488404,3.086466817855835,4.004677754677755,2.333949014541657,0.8847676205954377,1.5607898551247001,1.3350694444444444,1.4396158854166665,1.0005208333333333,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True
0.5,16,0.5,2.0,2.0,1.0,0.5,0.375,0.75,0.25,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,2.0065104166666665,0.5010416666666666,0.3337673611111111,10.950833559036255,6.942540407180786,4.050403833389282,2.4062693119049072,3.339141607284546,7.512181997299194,12.073333559036255,5.172903833389283,5.461641607284546,9.634681997299195,6.172903833389283,4.004677754677755,2.3339566997374117,0.8847767201138768,1.5608022184284045,2.670138888888889,2.879231770833333,2.0010416666666666,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True
0.5,16,0.65,0.5,8.0,5.2,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,0.3,0.10032552083333332,0.375,0.15657552083333331,6.52115885416669,0.19858358739837398,0.12052710262345678,30.4814875125885,19.784659147262573,1.378864049911499,0.8459389209747314,1.0199248790740967,21.267741918563843,30.7621125125885,1.6594890499114991,1.5505498790740968,21.798366918563843,1.9094890499114991,32.83835758835771,18.537098822212204,0.8120234463486248,11.415811428494,3.6958429783950733,4.495921947337978,0.573583587398374,6.443425264586903,7.838302988637298,True,True,False,True,False,True,True
0.5,16,0.65,1.0,4.0,2.6,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,13.04231770833338,0.39716717479674796,0.24105420524691357,60.96300482749939,39.56928849220276,2.7577579021453857,1.6919076442718506,2.0398199558258057,42.5354540348053,61.52425482749939,3.319007902145386,3.101069955825806,43.5967040348053,3.819007902145386,32.83835758835771,18.53694135157994,0.8120093058942697,11.415714539452559,7.3916859567901465,8.991843894675956,1.147167174796748,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True
0.5,16,0.65,2.0,2.0,1.3,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,26.08463541666676,0.7943343495934959,0.48210841049382713,121.92603945732117,79.1386067867279,5.515486001968384,3.3837854862213135,4.079669713973999,85.07093787193298,123.04853945732117,6.637986001968384,6.2021697139739995,87.19343787193299,7.637986001968384,32.83835758835771,18.537029065869252,0.8120163760938602,11.415762983784257,14.783371913580293,17.98368778935191,2.294334349593496,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True
0.5,16,0.8,0.5,8.0,6.4,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,0.3,0.10032552083333332,0.375,0.15657552083333331,-1.0032552083333324,0.31315104166666674,0.16688368055555555,,,,,,,,,,,,-3.2037422037422,,,,-0.043185763888888395,-0.18945312499999936,0.6881510416666667,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.5,16,0.8,1.0,4.0,3.2,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,-2.0065104166666647,0.6263020833333335,0.3337673611111111,,,,,,,,,,,,-3.2037422037422,,,,-0.08637152777777679,-0.3789062499999987,1.3763020833333335,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.5,16,0.8,2.0,2.0,1.6,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,-4.0130208333333295,1.252604166666667,0.6675347222222222,,,,,,,,,,,,-3.2037422037422,,,,-0.17274305555555358,-0.7578124999999974,2.752604166666667,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.5,32,0.5,0.5,8.0,4.0,0.5,0.375,0.75,0.25,0.8,0.5,0.3,0.10032552083333332,0.375,0.15657552083333331,0.5016276041666666,0.12526041666666665,0.08344184027777778,2.7377307415008545,1.7356574535369873,1.0125935077667236,0.6015598773956299,0.8347928524017334,1.8780529499053955,3.0183557415008546,1.2932185077667238,1.3654178524017335,2.4086779499053956,1.5432185077667238,4.004677754677755,2.3339874301004966,0.8847858197201799,1.5608145818514876,0.6675347222222222,0.7198079427083333,0.5002604166666667,1.3343744577477008,1.4388664757938572,True,True,False,True,False,True,True
0.5,32,0.5,1.0,4.0,2.0,0.5,0.375,0.75,0.25,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,1.0032552083333333,0.2505208333333333,0.16688368055555555,5.475431680679321,3.471285104751587,2.025216817855835,1.2031495571136475,1.669555902481079,3.7560760974884033,6.0366816806793215,2.586466817855835,2.7308059024810794,4.817326097488404,3.086466817855835,4.004677754677755,2.333949014541657,0.8847676205954377,1.5607898551247001,1.3350694444444444,1.4396158854166665,1.0005208333333333,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True
0.5,32,0.5,2.0,2.0,1.0,0.5,0.375,0.75,0.25,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,2.0065104166666665,0.5010416666666666,0.3337673611111111,10.950833559036255,6.942540407180786,4.050403833389282,2.4062693119049072,3.339141607284546,7.512181997299194,12.073333559036255,5.172903833389283,5.461641607284546,9.634681997299195,6.172903833389283,4.004677754677755,2.3339566997374117,0.8847767201138768,1.5608022184284045,2.670138888888889,2.879231770833333,2.0010416666666666,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True
0.5,32,0.65,0.5,8.0,5.2,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,0.3,0.10032552083333332,0.375,0.15657552083333331,6.52115885416669,0.19858358739837398,0.12052710262345678,30.4814875125885,19.784659147262573,1.378864049911499,0.8459389209747314,1.0199248790740967,21.267741918563843,30.7621125125885,1.6594890499114991,1.5505498790740968,21.798366918563843,1.9094890499114991,32.83835758835771,18.537098822212204,0.8120234463486248,11.415811428494,3.6958429783950733,4.495921947337978,0.573583587398374,6.443425264586903,7.838302988637298,True,True,False,True,False,True,True
0.5,32,0.65,1.0,4.0,2.6,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,13.04231770833338,0.39716717479674796,0.24105420524691357,60.96300482749939,39.56928849220276,2.7577579021453857,1.6919076442718506,2.0398199558258057,42.5354540348053,61.52425482749939,3.319007902145386,3.101069955825806,43.5967040348053,3.819007902145386,32.83835758835771,18.53694135157994,0.8120093058942697,11.415714539452559,7.3916859567901465,8.991843894675956,1.147167174796748,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True
0.5,32,0.65,2.0,2.0,1.3,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,26.08463541666676,0.7943343495934959,0.48210841049382713,121.92603945732117,79.1386067867279,5.515486001968384,3.3837854862213135,4.079669713973999,85.07093787193298,123.04853945732117,6.637986001968384,6.2021697139739995,87.19343787193299,7.637986001968384,32.83835758835771,18.537029065869252,0.8120163760938602,11.415762983784257,14.783371913580293,17.98368778935191,2.294334349593496,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True
0.5,32,0.8,0.5,8.0,6.4,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,0.3,0.10032552083333332,0.375,0.15657552083333331,-1.0032552083333324,0.31315104166666674,0.16688368055555555,,,,,,,,,,,,-3.2037422037422,,,,-0.043185763888888395,-0.18945312499999936,0.6881510416666667,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.5,32,0.8,1.0,4.0,3.2,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,-2.0065104166666647,0.6263020833333335,0.3337673611111111,,,,,,,,,,,,-3.2037422037422,,,,-0.08637152777777679,-0.3789062499999987,1.3763020833333335,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.5,32,0.8,2.0,2.0,1.6,0.8,0.6000000000000001,1.2000000000000002,0.4,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,-4.0130208333333295,1.252604166666667,0.6675347222222222,,,,,,,,,,,,-3.2037422037422,,,,-0.17274305555555358,-0.7578124999999974,2.752604166666667,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False
0.5,64,0.5,0.5,8.0,4.0,0.5,0.375,0.75,0.25,0.8,0.5,0.3,0.10032552083333332,0.375,0.15657552083333331,0.5016276041666666,0.12526041666666665,0.08344184027777778,2.7377307415008545,1.7356574535369873,1.0125935077667236,0.6015598773956299,0.8347928524017334,1.8780529499053955,3.0183557415008546,1.2932185077667238,1.3654178524017335,2.4086779499053956,1.5432185077667238,4.004677754677755,2.3339874301004966,0.8847858197201799,1.5608145818514876,0.6675347222222222,0.7198079427083333,0.5002604166666667,1.3343744577477008,1.4388664757938572,True,True,False,True,False,True,True
0.5,64,0.5,1.0,4.0,2.0,0.5,0.375,0.75,0.25,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,1.0032552083333333,0.2505208333333333,0.16688368055555555,5.475431680679321,3.471285104751587,2.025216817855835,1.2031495571136475,1.669555902481079,3.7560760974884033,6.0366816806793215,2.586466817855835,2.7308059024810794,4.817326097488404,3.086466817855835,4.004677754677755,2.333949014541657,0.8847676205954377,1.5607898551247001,1.3350694444444444,1.4396158854166665,1.0005208333333333,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True
0.5,64,0.5,2.0,2.0,1.0,0.5,0.375,0.75,0.25,0.8,0.5,1.2,1.6052083333333331,1.5,2.505208333333333,2.0065104166666665,0.5010416666666666,0.3337673611111111,10.950833559036255,6.942540407180786,4.050403833389282,2.4062693119049072,3.339141607284546,7.512181997299194,12.073333559036255,5.172903833389283,5.461641607284546,9.634681997299195,6.172903833389283,4.004677754677755,2.3339566997374117,0.8847767201138768,1.5608022184284045,2.670138888888889,2.879231770833333,2.0010416666666666,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True
0.5,64,0.65,0.5,8.0,5.2,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,0.3,0.10032552083333332,0.375,0.15657552083333331,6.52115885416669,0.19858358739837398,0.12052710262345678,30.4814875125885,19.784659147262573,1.378864049911499,0.8459389209747314,1.0199248790740967,21.267741918563843,30.7621125125885,1.6594890499114991,1.5505498790740968,21.798366918563843,1.9094890499114991,32.83835758835771,18.537098822212204,0.8120234463486248,11.415811428494,3.6958429783950733,4.495921947337978,0.573583587398374,6.443425264586903,7.838302988637298,True,True,False,True,False,True,True
0.5,64,0.65,1.0,4.0,2.6,0.65,0.48750000000000004,0.9750000000000001,0.325,0.8,0.5,0.6,0.4013020833333333,0.75,0.6263020833333333,13.04231770833338,0.39716717479674796,0.24105420524691357,60.96300482749939,39.56928849220276,2.7577579021453857,1.6919076442718506,2.0398199558258057,42.5354540348053,61.52425482749939,3.319007902145386,3.101069955825806,43.5967040348053,3.819007902145386,32.83835758835771,18.53694135157994,0.8120093058942697,11.415714539452559,7.3916859567901465,8.991843894675956,1.147167174796748,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True
